date_hobo,time_hobo,water_level_hobo,date_noaa,time_noaa,water_level_noaa,diff_time,diff_level
7/14/2022,7:20,32.467,7/14/2022,7:00,32.35,0:20,0.117
7/14/2022,20:40,30.606,7/14/2022,20:18,30.42,0:22,0.186
7/15/2022,8:16,32.683,7/15/2022,7:54,32.31,0:22,0.373
7/15/2022,21:20,31.688,7/15/2022,21:06,31.46,0:14,0.228
7/16/2022,8:56,32.245,7/16/2022,8:42,32.01,0:14,0.235
7/16/2022,22:08,31.131,7/16/2022,21:54,30.93,0:14,0.201
7/17/2022,9:52,31.129,7/17/2022,9:36,30.87,0:16,0.259
7/17/2022,22:48,31.348,7/17/2022,22:36,31.18,0:12,0.168
7/18/2022,10:48,29.373,7/18/2022,10:24,29.3,0:24,0.073
7/18/2022,23:28,30.446,7/18/2022,23:18,30.45,0:10,-0.004
7/19/2022,11:44,27.367,7/19/2022,11:18,27.62,0:26,-0.253
7/20/2022,0:16,29.036,7/19/2022,23:54,29.26,0:22,-0.224
7/20/2022,12:40,24.949,7/20/2022,12:18,25.48,0:22,-0.531
7/21/2022,1:04,27.98,7/21/2022,0:42,28.26,0:22,-0.28
7/21/2022,14:00,23.701,7/21/2022,13:30,24.36,0:30,-0.659
7/22/2022,1:52,26.245,7/22/2022,1:30,26.88,0:22,-0.635
7/22/2022,15:36,23.245,7/22/2022,15:00,23.95,0:36,-0.705
7/23/2022,2:56,24.987,7/23/2022,2:36,25.74,0:20,-0.753
7/23/2022,16:40,23.582,7/23/2022,16:12,24.19,0:28,-0.608
7/24/2022,4:00,24.797,7/24/2022,3:36,25.53,0:24,-0.733
7/24/2022,17:44,25.019,7/24/2022,17:18,25.57,0:26,-0.551
7/25/2022,4:56,25.644,7/25/2022,4:36,26.27,0:20,-0.626
7/25/2022,18:32,26.424,7/25/2022,18:06,26.95,0:26,-0.526
7/26/2022,5:52,26.995,7/26/2022,5:24,27,0:28,-0.005
7/26/2022,18:48,26.353,7/26/2022,18:42,26.72,0:06,-0.367
7/27/2022,6:32,27.244,7/27/2022,6:06,27.34,0:26,-0.096
7/27/2022,19:36,27.407,7/27/2022,19:18,27.37,0:18,0.037
7/28/2022,7:04,27.922,7/28/2022,6:42,27.9,0:22,0.022
7/28/2022,20:08,27.551,7/28/2022,19:54,27.83,0:14,-0.279
7/29/2022,7:36,28.621,7/29/2022,7:18,28.49,0:18,0.131
7/29/2022,20:48,27.993,7/29/2022,20:24,28.24,0:24,-0.247
7/30/2022,8:16,28.681,7/30/2022,7:54,28.79,0:22,-0.109
7/30/2022,21:12,28.306,7/30/2022,20:54,28.49,0:18,-0.184
7/31/2022,8:56,28.642,7/31/2022,8:30,28.61,0:26,0.032
7/31/2022,21:44,28.219,7/31/2022,21:24,28.44,0:20,-0.221
8/1/2022,9:36,28.123,8/1/2022,9:06,28.19,0:30,-0.067
8/1/2022,22:16,28.374,8/1/2022,21:54,28.53,0:22,-0.156
8/2/2022,10:08,27.211,8/2/2022,9:48,27.32,0:20,-0.109
8/2/2022,22:48,27.881,8/2/2022,22:24,28.2,0:24,-0.319
8/3/2022,10:56,26.019,8/3/2022,10:30,26.37,0:26,-0.351
8/3/2022,23:20,27.886,8/3/2022,23:00,28.26,0:20,-0.374
8/4/2022,11:44,24.845,8/4/2022,11:18,25.41,0:26,-0.565
8/5/2022,0:00,27.851,8/4/2022,23:36,28.2,0:24,-0.349
8/5/2022,12:48,24.54,8/5/2022,12:24,25.23,0:24,-0.69
8/6/2022,0:48,27.182,8/6/2022,0:24,27.66,0:24,-0.478
8/6/2022,14:16,24.127,8/6/2022,13:42,24.55,0:34,-0.423
8/7/2022,1:52,26.297,8/7/2022,1:30,26.91,0:22,-0.613
8/7/2022,15:28,24.646,8/7/2022,15:18,25.24,0:10,-0.594
8/8/2022,3:12,27.395,8/8/2022,2:42,27.72,0:30,-0.325
8/8/2022,16:56,25.727,8/8/2022,16:30,26.28,0:26,-0.553
8/9/2022,4:24,28.196,8/9/2022,4:00,28.49,0:24,-0.294
8/9/2022,18:00,27.261,8/9/2022,17:36,27.47,0:24,-0.209
8/10/2022,5:28,29.345,8/10/2022,5:06,29.36,0:22,-0.015
8/10/2022,18:48,29.167,8/10/2022,18:30,28.81,0:18,0.357
8/11/2022,6:24,31.104,8/11/2022,6:06,30.79,0:18,0.314
8/11/2022,19:36,29.581,8/11/2022,19:18,29.51,0:18,0.071
8/12/2022,7:20,31.738,8/12/2022,6:54,31.53,0:26,0.208
8/12/2022,20:24,31.185,8/12/2022,20:06,30.91,0:18,0.275
8/13/2022,8:08,32.528,8/13/2022,7:48,32.26,0:20,0.268
8/13/2022,20:56,31.987,8/13/2022,20:42,31.66,0:14,0.327
8/14/2022,8:56,32.417,8/14/2022,8:36,31.92,0:20,0.497
8/14/2022,21:36,32.065,8/14/2022,21:18,31.8,0:18,0.265
8/15/2022,9:44,31.216,8/15/2022,9:24,30.82,0:20,0.396
8/15/2022,22:16,31.565,8/15/2022,21:54,31.38,0:22,0.185
8/16/2022,10:24,29.64,8/16/2022,10:06,29.32,0:18,0.32
8/16/2022,22:48,30.514,8/16/2022,22:30,30.57,0:18,-0.056
8/17/2022,11:12,28.204,8/17/2022,10:48,28.1,0:24,0.104
8/17/2022,23:20,29.717,8/17/2022,23:00,29.94,0:20,-0.223
8/18/2022,12:08,24.952,8/18/2022,11:42,25.53,0:26,-0.578
8/19/2022,0:08,26.779,8/18/2022,23:42,27.22,0:26,-0.441
8/19/2022,13:20,22.682,8/19/2022,12:48,23.55,0:32,-0.868
8/20/2022,1:04,24.681,8/20/2022,0:36,25.41,0:28,-0.729
8/20/2022,14:48,22.313,8/20/2022,14:18,23.07,0:30,-0.757
8/21/2022,2:00,22.933,8/21/2022,1:48,23.82,0:12,-0.887
8/21/2022,16:16,23.108,8/21/2022,15:54,23.73,0:22,-0.622
8/22/2022,3:36,22.672,8/22/2022,3:12,23.62,0:24,-0.948
8/22/2022,17:20,23.773,8/22/2022,16:54,24.65,0:26,-0.877
8/23/2022,4:32,23.858,8/23/2022,4:12,24.61,0:20,-0.752
8/23/2022,18:00,25.393,8/23/2022,17:42,25.87,0:18,-0.477
8/24/2022,5:36,25.337,8/24/2022,5:06,25.92,0:30,-0.583
8/24/2022,18:40,26.694,8/24/2022,18:18,27.07,0:22,-0.376
8/25/2022,6:16,27.109,8/25/2022,5:54,27.39,0:22,-0.281
8/25/2022,19:12,27.692,8/25/2022,18:54,27.99,0:18,-0.298
8/26/2022,6:56,28.449,8/26/2022,6:30,28.59,0:26,-0.141
8/26/2022,19:44,28.769,8/26/2022,19:24,28.94,0:20,-0.171
8/27/2022,7:28,29.37,8/27/2022,7:06,29.44,0:22,-0.07
8/27/2022,20:08,29.741,8/27/2022,19:54,29.56,0:14,0.181
8/28/2022,8:00,30.148,8/28/2022,7:42,30.05,0:18,0.098
8/28/2022,20:40,30.01,8/28/2022,20:18,30.02,0:22,-0.01
8/29/2022,8:40,30.225,8/29/2022,8:18,30.13,0:22,0.095
8/29/2022,21:04,30.356,8/29/2022,20:48,30.35,0:16,0.006
8/30/2022,9:12,29.893,8/30/2022,8:54,29.64,0:18,0.253
8/30/2022,21:36,30.465,8/30/2022,21:18,30.29,0:18,0.175
8/31/2022,9:52,28.669,8/31/2022,9:30,28.85,0:22,-0.181
8/31/2022,22:08,29.81,8/31/2022,21:42,29.91,0:26,-0.1
9/1/2022,10:40,28.103,9/1/2022,10:12,28.3,0:28,-0.197
9/1/2022,22:40,29.676,9/1/2022,22:18,29.81,0:22,-0.134
9/2/2022,11:28,26.623,9/2/2022,11:00,26.75,0:28,-0.127
9/2/2022,23:12,29.132,9/2/2022,22:54,29.49,0:18,-0.358
9/3/2022,12:24,25.559,9/3/2022,12:00,25.98,0:24,-0.421
9/4/2022,0:08,27.279,9/3/2022,23:42,27.83,0:26,-0.551
9/4/2022,13:44,24.445,9/4/2022,13:30,24.95,0:14,-0.505
9/5/2022,1:20,25.554,9/5/2022,1:00,26.33,0:20,-0.776
9/5/2022,15:28,24.623,9/5/2022,15:06,25.19,0:22,-0.567
9/6/2022,2:56,25.443,9/6/2022,2:36,26.14,0:20,-0.697
9/6/2022,16:40,26.103,9/6/2022,16:24,26.62,0:16,-0.517
9/7/2022,4:24,27.085,9/7/2022,3:54,27.44,0:30,-0.355
9/7/2022,17:52,27.806,9/7/2022,17:24,28.02,0:28,-0.214
9/8/2022,5:28,28.594,9/8/2022,5:06,28.77,0:22,-0.176
