date,minute,encounter,calf_presence,ws,pc,cc,calf_s,difftime_s,calf_next,difftime_next
9/17/2021,1,3,yes,0,0,0,1,0,39,-38
9/17/2021,2,3,yes,0,0,0,1,1,39,-37
9/17/2021,3,3,yes,0,0,0,1,2,39,-36
9/17/2021,4,3,yes,0,0,0,1,3,39,-35
9/17/2021,5,3,yes,0,0,0,1,4,39,-34
9/17/2021,6,3,yes,0,4,0,1,5,39,-33
9/17/2021,7,3,yes,3,2,0,1,6,39,-32
9/17/2021,8,3,yes,1,7,0,1,7,39,-31
9/17/2021,9,3,yes,6,5,0,1,8,39,-30
9/17/2021,10,3,yes,10,11,0,1,9,39,-29
9/17/2021,11,3,yes,2,17,0,1,10,39,-28
9/17/2021,12,3,yes,9,4,0,1,11,39,-27
9/17/2021,13,3,yes,11,0,0,1,12,39,-26
9/17/2021,14,3,yes,4,2,0,1,13,39,-25
9/17/2021,15,3,yes,14,2,0,1,14,39,-24
9/17/2021,16,3,yes,2,0,0,1,15,39,-23
9/17/2021,17,3,yes,1,0,0,1,16,39,-22
9/17/2021,18,3,yes,1,0,0,1,17,39,-21
9/17/2021,19,3,yes,1,0,0,1,18,39,-20
9/17/2021,20,3,yes,0,0,0,1,19,39,-19
9/17/2021,21,3,yes,0,0,0,1,20,39,-18
9/17/2021,22,3,yes,0,0,0,1,21,39,-17
9/17/2021,23,3,yes,1,0,0,1,22,39,-16
9/17/2021,24,3,yes,0,0,0,1,23,39,-15
9/17/2021,25,3,yes,0,0,0,1,24,39,-14
9/17/2021,26,3,yes,0,0,0,1,25,39,-13
9/17/2021,27,3,yes,0,0,0,1,26,39,-12
9/17/2021,28,3,yes,0,0,0,1,27,39,-11
9/17/2021,29,3,yes,0,0,1,1,28,39,-10
9/17/2021,30,3,yes,0,0,0,1,29,39,-9
9/17/2021,31,3,yes,0,0,0,1,30,39,-8
9/17/2021,32,3,yes,0,0,0,1,31,39,-7
9/17/2021,33,3,yes,0,0,0,1,32,39,-6
9/17/2021,34,3,yes,0,0,0,1,33,39,-5
9/17/2021,35,3,yes,0,0,0,1,34,39,-4
9/17/2021,36,3,yes,0,0,0,1,35,39,-3
9/17/2021,37,3,yes,0,0,0,1,36,39,-2
9/17/2021,38,3,yes,0,0,0,1,37,39,-1
9/17/2021,39,3,no,0,0,0,39,0,1,38
9/17/2021,40,3,no,0,0,0,39,1,1,39
9/17/2021,41,3,no,0,0,0,39,2,1,40
9/17/2021,42,3,no,0,0,0,39,3,1,41
9/17/2021,43,3,no,0,0,0,39,4,1,42
9/17/2021,44,3,no,0,0,0,39,5,1,43
9/17/2021,45,3,no,0,0,0,39,6,1,44
9/17/2021,46,3,no,0,0,0,39,7,1,45
9/17/2021,47,3,no,0,0,0,39,8,1,46
9/17/2021,48,3,no,0,0,0,39,9,1,47
10/4/2021,1,5,yes,0,0,0,1,0,38,-37
10/4/2021,2,5,yes,1,0,0,1,1,38,-36
10/4/2021,3,5,yes,13,0,0,1,2,38,-35
10/4/2021,4,5,yes,3,0,0,1,3,38,-34
10/4/2021,5,5,yes,0,0,0,1,4,38,-33
10/4/2021,6,5,yes,0,0,0,1,5,38,-32
10/4/2021,7,5,yes,2,1,0,1,6,38,-31
10/4/2021,8,5,yes,1,1,0,1,7,38,-30
10/4/2021,9,5,yes,9,2,0,1,8,38,-29
10/4/2021,10,5,yes,3,2,0,1,9,38,-28
10/4/2021,11,5,yes,0,0,0,1,10,38,-27
10/4/2021,12,5,yes,1,0,0,1,11,38,-26
10/4/2021,13,5,yes,0,0,0,1,12,38,-25
10/4/2021,14,5,yes,0,0,0,1,13,38,-24
10/4/2021,15,5,yes,0,0,0,1,14,38,-23
10/4/2021,16,5,yes,0,0,0,1,15,38,-22
10/4/2021,17,5,yes,0,0,0,1,16,38,-21
10/4/2021,18,5,yes,0,0,0,1,17,38,-20
10/4/2021,19,5,yes,0,0,0,1,18,38,-19
10/4/2021,20,5,yes,0,0,0,1,19,38,-18
10/4/2021,21,5,yes,0,0,0,1,20,38,-17
10/4/2021,22,5,yes,0,0,0,1,21,38,-16
10/4/2021,23,5,yes,0,0,0,1,22,38,-15
10/4/2021,24,5,yes,0,0,0,1,23,38,-14
10/4/2021,25,5,yes,0,0,0,1,24,38,-13
10/4/2021,26,5,yes,0,0,0,1,25,38,-12
10/4/2021,27,5,yes,0,0,0,1,26,38,-11
10/4/2021,28,5,yes,0,0,0,1,27,38,-10
10/4/2021,29,5,yes,0,0,0,1,28,38,-9
10/4/2021,30,5,yes,0,0,0,1,29,38,-8
10/4/2021,31,5,yes,0,0,0,1,30,38,-7
10/4/2021,32,5,yes,0,0,0,1,31,38,-6
10/4/2021,33,5,yes,0,0,0,1,32,38,-5
10/4/2021,34,5,yes,0,0,0,1,33,38,-4
10/4/2021,35,5,yes,0,0,0,1,34,38,-3
10/4/2021,36,5,yes,0,0,0,1,35,38,-2
10/4/2021,37,5,yes,0,0,0,1,36,38,-1
10/4/2021,38,5,no,0,0,0,38,0,1,37
10/4/2021,39,5,no,0,0,0,38,1,1,38
10/4/2021,40,5,no,0,1,0,38,2,1,39
10/4/2021,41,5,no,0,0,0,38,3,1,40
10/4/2021,42,5,no,0,0,0,38,4,1,41
10/4/2021,43,5,no,0,0,0,38,5,1,42
10/4/2021,44,5,no,0,0,0,38,6,1,43
10/4/2021,45,5,no,0,0,0,38,7,1,44
10/4/2021,46,5,no,0,0,0,38,8,1,45
10/4/2021,47,5,no,0,0,0,38,9,1,46
10/4/2021,48,5,no,0,0,0,38,10,1,47
10/7/2021,1,7,yes,0,0,0,1,0,21,-20
10/7/2021,2,7,yes,0,0,0,1,1,21,-19
10/7/2021,3,7,yes,0,0,0,1,2,21,-18
10/7/2021,4,7,yes,0,0,0,1,3,21,-17
10/7/2021,5,7,yes,0,0,0,1,4,21,-16
10/7/2021,6,7,yes,0,0,0,1,5,21,-15
10/7/2021,7,7,yes,0,0,0,1,6,21,-14
10/7/2021,8,7,yes,0,0,0,1,7,21,-13
10/7/2021,9,7,yes,0,0,0,1,8,21,-12
10/7/2021,10,7,yes,0,0,0,1,9,21,-11
10/7/2021,11,7,yes,0,0,0,1,10,21,-10
10/7/2021,12,7,yes,7,0,0,1,11,21,-9
10/7/2021,13,7,yes,17,0,0,1,12,21,-8
10/7/2021,14,7,yes,7,0,0,1,13,21,-7
10/7/2021,15,7,yes,0,0,0,1,14,21,-6
10/7/2021,16,7,yes,0,0,0,1,15,21,-5
10/7/2021,17,7,yes,0,0,0,1,16,21,-4
10/7/2021,18,7,yes,0,0,0,1,17,21,-3
10/7/2021,19,7,yes,0,0,0,1,18,21,-2
10/7/2021,20,7,yes,0,0,0,1,19,21,-1
10/7/2021,21,7,no,0,0,0,21,0,1,20
10/7/2021,22,7,no,0,0,0,21,1,1,21
10/7/2021,23,7,no,0,0,0,21,2,1,22
10/7/2021,24,7,no,0,0,0,21,3,1,23
10/7/2021,25,7,no,0,0,0,21,4,1,24
10/7/2021,26,7,no,0,0,0,21,5,1,25
10/7/2021,27,7,no,0,0,0,21,6,1,26
10/7/2021,28,7,no,0,0,0,21,7,1,27
10/7/2021,29,7,no,0,0,0,21,8,1,28
10/7/2021,30,7,no,0,0,0,21,9,1,29
10/7/2021,31,7,no,0,0,0,21,10,1,30
10/7/2021,32,7,no,0,0,0,21,11,1,31
10/7/2021,33,7,no,0,0,0,21,12,1,32
10/7/2021,34,7,no,0,0,0,21,13,1,33
10/7/2021,35,7,no,0,0,0,21,14,1,34
10/7/2021,36,7,no,0,0,0,21,15,1,35
10/7/2021,37,7,no,0,0,0,21,16,1,36
10/7/2021,38,7,no,0,0,0,21,17,1,37
10/7/2021,39,7,no,0,0,0,21,18,1,38
8/24/2022,1,13,yes,0,0,0,1,0,106,-105
8/24/2022,2,13,yes,0,0,0,1,1,106,-104
8/24/2022,3,13,yes,0,0,0,1,2,106,-103
8/24/2022,4,13,yes,0,0,0,1,3,106,-102
8/24/2022,5,13,yes,0,0,0,1,4,106,-101
8/24/2022,6,13,yes,0,0,0,1,5,106,-100
8/24/2022,7,13,yes,0,0,0,1,6,106,-99
8/24/2022,8,13,yes,2,0,0,1,7,106,-98
8/24/2022,9,13,yes,0,0,0,1,8,106,-97
8/24/2022,10,13,yes,7,0,0,1,9,106,-96
8/24/2022,11,13,yes,2,0,0,1,10,106,-95
8/24/2022,12,13,yes,1,0,0,1,11,106,-94
8/24/2022,13,13,yes,2,0,0,1,12,106,-93
8/24/2022,14,13,yes,0,0,0,1,13,106,-92
8/24/2022,15,13,yes,0,0,0,1,14,106,-91
8/24/2022,16,13,yes,0,0,0,1,15,106,-90
8/24/2022,17,13,yes,0,0,0,1,16,106,-89
8/24/2022,18,13,yes,0,0,0,1,17,106,-88
8/24/2022,19,13,yes,0,0,0,1,18,106,-87
8/24/2022,20,13,yes,1,0,0,1,19,106,-86
8/24/2022,21,13,yes,0,0,0,1,20,106,-85
8/24/2022,22,13,yes,0,3,0,1,21,106,-84
8/24/2022,23,13,yes,0,2,0,1,22,106,-83
8/24/2022,24,13,yes,0,0,0,1,23,106,-82
8/24/2022,25,13,yes,0,0,0,1,24,106,-81
8/24/2022,26,13,yes,0,1,0,1,25,106,-80
8/24/2022,27,13,yes,0,6,6,1,26,106,-79
8/24/2022,28,13,yes,0,6,17,1,27,106,-78
8/24/2022,29,13,yes,0,0,0,1,28,106,-77
8/24/2022,30,13,yes,2,2,0,1,29,106,-76
8/24/2022,31,13,yes,0,0,0,1,30,106,-75
8/24/2022,32,13,yes,0,0,0,1,31,106,-74
8/24/2022,33,13,yes,0,0,0,1,32,106,-73
8/24/2022,34,13,yes,1,0,0,1,33,106,-72
8/24/2022,35,13,yes,0,0,0,1,34,106,-71
8/24/2022,36,13,yes,1,0,0,1,35,106,-70
8/24/2022,37,13,yes,10,0,0,1,36,106,-69
8/24/2022,38,13,yes,8,0,0,1,37,106,-68
8/24/2022,39,13,yes,1,0,0,1,38,106,-67
8/24/2022,40,13,yes,5,0,0,1,39,106,-66
8/24/2022,41,13,yes,5,0,0,1,40,106,-65
8/24/2022,42,13,yes,6,0,0,1,41,106,-64
8/24/2022,43,13,yes,1,0,0,1,42,106,-63
8/24/2022,44,13,yes,5,0,0,1,43,106,-62
8/24/2022,45,13,yes,5,0,0,1,44,106,-61
8/24/2022,46,13,yes,7,0,0,1,45,106,-60
8/24/2022,47,13,yes,3,0,0,1,46,106,-59
8/24/2022,48,13,yes,7,0,0,1,47,106,-58
8/24/2022,49,13,yes,9,0,0,1,48,106,-57
8/24/2022,50,13,yes,15,2,0,1,49,106,-56
8/24/2022,51,13,yes,16,0,0,1,50,106,-55
8/24/2022,52,13,yes,6,0,0,1,51,106,-54
8/24/2022,53,13,yes,4,0,0,1,52,106,-53
8/24/2022,54,13,yes,11,0,0,1,53,106,-52
8/24/2022,55,13,yes,16,0,0,1,54,106,-51
8/24/2022,56,13,yes,2,0,0,1,55,106,-50
8/24/2022,57,13,yes,2,0,0,1,56,106,-49
8/24/2022,58,13,yes,1,0,0,1,57,106,-48
8/24/2022,59,13,yes,1,0,0,1,58,106,-47
8/24/2022,60,13,yes,0,0,0,1,59,106,-46
8/24/2022,61,13,yes,0,0,0,1,60,106,-45
8/24/2022,62,13,yes,0,0,0,1,61,106,-44
8/24/2022,63,13,yes,0,0,0,1,62,106,-43
8/24/2022,64,13,yes,1,0,0,1,63,106,-42
8/24/2022,65,13,yes,0,0,0,1,64,106,-41
8/24/2022,66,13,yes,0,0,0,1,65,106,-40
8/24/2022,67,13,yes,0,0,0,1,66,106,-39
8/24/2022,68,13,yes,0,0,0,1,67,106,-38
8/24/2022,69,13,yes,0,0,0,1,68,106,-37
8/24/2022,70,13,yes,0,0,0,1,69,106,-36
8/24/2022,71,13,yes,0,0,0,1,70,106,-35
8/24/2022,72,13,yes,0,0,0,1,71,106,-34
8/24/2022,73,13,yes,0,0,0,1,72,106,-33
8/24/2022,74,13,yes,0,0,0,1,73,106,-32
8/24/2022,75,13,yes,0,0,0,1,74,106,-31
8/24/2022,76,13,yes,0,0,0,1,75,106,-30
8/24/2022,77,13,yes,0,0,0,1,76,106,-29
8/24/2022,78,13,yes,0,0,0,1,77,106,-28
8/24/2022,79,13,yes,0,0,0,1,78,106,-27
8/24/2022,80,13,yes,0,0,0,1,79,106,-26
8/24/2022,81,13,yes,0,0,0,1,80,106,-25
8/24/2022,82,13,yes,0,0,0,1,81,106,-24
8/24/2022,83,13,yes,0,0,0,1,82,106,-23
8/24/2022,84,13,yes,0,0,0,1,83,106,-22
8/24/2022,85,13,yes,0,0,0,1,84,106,-21
8/24/2022,86,13,yes,0,0,0,1,85,106,-20
8/24/2022,87,13,yes,0,0,0,1,86,106,-19
8/24/2022,88,13,yes,0,0,0,1,87,106,-18
8/24/2022,89,13,yes,0,0,0,1,88,106,-17
8/24/2022,90,13,yes,0,0,0,1,89,106,-16
8/24/2022,91,13,yes,0,0,0,1,90,106,-15
8/24/2022,92,13,yes,0,0,0,1,91,106,-14
8/24/2022,93,13,yes,0,0,0,1,92,106,-13
8/24/2022,94,13,yes,0,0,0,1,93,106,-12
8/24/2022,95,13,yes,0,0,0,1,94,106,-11
8/24/2022,96,13,yes,0,0,0,1,95,106,-10
8/24/2022,97,13,yes,0,0,0,1,96,106,-9
8/24/2022,98,13,yes,0,0,0,1,97,106,-8
8/24/2022,99,13,yes,0,0,0,1,98,106,-7
8/24/2022,100,13,yes,0,0,0,1,99,106,-6
8/24/2022,101,13,yes,0,0,0,1,100,106,-5
8/24/2022,102,13,yes,0,0,0,1,101,106,-4
8/24/2022,103,13,yes,0,0,0,1,102,106,-3
8/24/2022,104,13,yes,0,0,0,1,103,106,-2
8/24/2022,105,13,yes,0,0,0,1,104,106,-1
8/24/2022,106,13,no,0,0,0,106,0,127,-21
8/24/2022,107,13,no,0,0,0,106,1,127,-20
8/24/2022,108,13,no,0,0,0,106,2,127,-19
8/24/2022,109,13,no,0,0,0,106,3,127,-18
8/24/2022,110,13,no,0,0,0,106,4,127,-17
8/24/2022,111,13,no,0,0,0,106,5,127,-16
8/24/2022,112,13,no,0,0,0,106,6,127,-15
8/24/2022,113,13,no,2,0,0,106,7,127,-14
8/24/2022,114,13,no,1,2,0,106,8,127,-13
8/24/2022,115,13,no,1,4,0,106,9,127,-12
8/24/2022,116,13,no,0,0,0,106,10,127,-11
8/24/2022,117,13,no,0,0,0,106,11,127,-10
8/24/2022,118,13,no,3,1,0,106,12,127,-9
8/24/2022,119,13,no,1,1,0,106,13,127,-8
8/24/2022,120,13,no,0,0,0,106,14,127,-7
8/24/2022,121,13,no,0,0,0,106,15,127,-6
8/24/2022,122,13,no,0,2,0,106,16,127,-5
8/24/2022,123,13,no,2,2,0,106,17,127,-4
8/24/2022,124,13,no,0,0,0,106,18,127,-3
8/24/2022,125,13,no,1,0,0,106,19,127,-2
8/24/2022,126,13,no,0,1,0,106,20,127,-1
8/24/2022,127,13,yes,1,0,0,127,0,148,-21
8/24/2022,128,13,yes,0,0,0,127,1,148,-20
8/24/2022,129,13,yes,0,0,0,127,2,148,-19
8/24/2022,130,13,yes,0,0,0,127,3,148,-18
8/24/2022,131,13,yes,0,2,0,127,4,148,-17
8/24/2022,132,13,yes,0,0,0,127,5,148,-16
8/24/2022,133,13,yes,0,0,0,127,6,148,-15
8/24/2022,134,13,yes,0,0,0,127,7,148,-14
8/24/2022,135,13,yes,0,1,0,127,8,148,-13
8/24/2022,136,13,yes,0,0,0,127,9,148,-12
8/24/2022,137,13,yes,0,0,0,127,10,148,-11
8/24/2022,138,13,yes,0,0,0,127,11,148,-10
8/24/2022,139,13,yes,0,0,0,127,12,148,-9
8/24/2022,140,13,yes,0,0,0,127,13,148,-8
8/24/2022,141,13,yes,0,0,0,127,14,148,-7
8/24/2022,142,13,yes,0,0,0,127,15,148,-6
8/24/2022,143,13,yes,0,0,0,127,16,148,-5
8/24/2022,144,13,yes,0,0,0,127,17,148,-4
8/24/2022,145,13,yes,0,0,0,127,18,148,-3
8/24/2022,146,13,yes,0,0,0,127,19,148,-2
8/24/2022,147,13,yes,0,0,0,127,20,148,-1
8/24/2022,148,13,no,0,0,0,148,0,1,147
8/24/2022,149,13,no,0,0,0,148,1,1,148
8/24/2022,150,13,no,0,0,0,148,2,1,149
8/24/2022,151,13,no,0,0,0,148,3,1,150
8/24/2022,152,13,no,0,0,0,148,4,1,151
8/24/2022,153,13,no,0,0,0,148,5,1,152
8/24/2022,154,13,no,0,0,0,148,6,1,153
8/24/2022,155,13,no,0,0,0,148,7,1,154
8/24/2022,156,13,no,0,0,0,148,8,1,155
8/24/2022,157,13,no,0,0,0,148,9,1,156
8/24/2022,158,13,no,0,0,0,148,10,1,157
8/24/2022,159,13,no,0,0,0,148,11,1,158
8/24/2022,160,13,no,0,0,0,148,12,1,159
8/24/2022,161,13,no,0,0,0,148,13,1,160
8/24/2022,162,13,no,0,0,0,148,14,1,161
8/24/2022,163,13,no,0,0,0,148,15,1,162
8/24/2022,164,13,no,0,0,0,148,16,1,163
8/24/2022,165,13,no,0,2,0,148,17,1,164
8/24/2022,166,13,no,0,0,0,148,18,1,165
8/24/2022,167,13,no,0,0,0,148,19,1,166
8/24/2022,168,13,no,0,0,0,148,20,1,167
9/7/2022,1,20,no,0,0,0,1,0,22,-21
9/7/2022,2,20,no,0,0,0,1,1,22,-20
9/7/2022,3,20,no,0,0,0,1,2,22,-19
9/7/2022,4,20,no,0,0,0,1,3,22,-18
9/7/2022,5,20,no,0,0,0,1,4,22,-17
9/7/2022,6,20,no,0,0,0,1,5,22,-16
9/7/2022,7,20,no,0,0,0,1,6,22,-15
9/7/2022,8,20,no,0,0,0,1,7,22,-14
9/7/2022,9,20,no,0,0,0,1,8,22,-13
9/7/2022,10,20,no,0,0,0,1,9,22,-12
9/7/2022,11,20,no,0,0,0,1,10,22,-11
9/7/2022,12,20,no,0,0,0,1,11,22,-10
9/7/2022,13,20,no,0,0,0,1,12,22,-9
9/7/2022,14,20,no,0,0,0,1,13,22,-8
9/7/2022,15,20,no,0,0,0,1,14,22,-7
9/7/2022,16,20,no,0,0,0,1,15,22,-6
9/7/2022,17,20,no,0,0,0,1,16,22,-5
9/7/2022,18,20,no,0,0,0,1,17,22,-4
9/7/2022,19,20,no,0,0,0,1,18,22,-3
9/7/2022,20,20,no,0,0,0,1,19,22,-2
9/7/2022,21,20,no,0,0,0,1,20,22,-1
9/7/2022,22,20,yes,0,0,0,22,0,64,-42
9/7/2022,23,20,yes,0,0,0,22,1,64,-41
9/7/2022,24,20,yes,0,0,0,22,2,64,-40
9/7/2022,25,20,yes,0,0,0,22,3,64,-39
9/7/2022,26,20,yes,0,0,0,22,4,64,-38
9/7/2022,27,20,yes,0,0,0,22,5,64,-37
9/7/2022,28,20,yes,0,0,0,22,6,64,-36
9/7/2022,29,20,yes,0,0,0,22,7,64,-35
9/7/2022,30,20,yes,0,0,0,22,8,64,-34
9/7/2022,31,20,yes,0,0,0,22,9,64,-33
9/7/2022,32,20,yes,0,0,0,22,10,64,-32
9/7/2022,33,20,yes,0,0,0,22,11,64,-31
9/7/2022,34,20,yes,0,0,0,22,12,64,-30
9/7/2022,35,20,yes,0,0,0,22,13,64,-29
9/7/2022,36,20,yes,0,0,0,22,14,64,-28
9/7/2022,37,20,yes,0,0,0,22,15,64,-27
9/7/2022,38,20,yes,0,0,0,22,16,64,-26
9/7/2022,39,20,yes,0,0,0,22,17,64,-25
9/7/2022,40,20,yes,0,0,0,22,18,64,-24
9/7/2022,41,20,yes,0,0,0,22,19,64,-23
9/7/2022,42,20,yes,0,0,0,22,20,64,-22
9/7/2022,43,20,yes,0,0,0,22,21,64,-21
9/7/2022,44,20,yes,0,0,0,22,22,64,-20
9/7/2022,45,20,yes,0,0,0,22,23,64,-19
9/7/2022,46,20,yes,0,0,0,22,24,64,-18
9/7/2022,47,20,yes,0,0,0,22,25,64,-17
9/7/2022,48,20,yes,0,0,0,22,26,64,-16
9/7/2022,49,20,yes,0,0,0,22,27,64,-15
9/7/2022,50,20,yes,0,0,0,22,28,64,-14
9/7/2022,51,20,yes,0,0,0,22,29,64,-13
9/7/2022,52,20,yes,0,0,0,22,30,64,-12
9/7/2022,53,20,yes,0,0,0,22,31,64,-11
9/7/2022,54,20,yes,0,0,0,22,32,64,-10
9/7/2022,55,20,yes,0,0,0,22,33,64,-9
9/7/2022,56,20,yes,0,0,0,22,34,64,-8
9/7/2022,57,20,yes,0,0,0,22,35,64,-7
9/7/2022,58,20,yes,0,0,0,22,36,64,-6
9/7/2022,59,20,yes,4,0,0,22,37,64,-5
9/7/2022,60,20,yes,22,0,0,22,38,64,-4
9/7/2022,61,20,yes,29,0,0,22,39,64,-3
9/7/2022,62,20,yes,11,3,0,22,40,64,-2
9/7/2022,63,20,yes,17,6,0,22,41,64,-1
